node1	node2	distance
t103082	t84582	1
t10412	t27834	1
t105847	t153984	1
t105864	t106029	1
t105864	t108982	1
t105864	t120985	1
t105864	t32775	1
t105864	t54161	1
t105864	t56330	0
t105864	t73394	1
t108723	t16579	1
t108723	t40545	1
t108982	t180578	1
t108982	t56319	1
t113919	t56319	1
t117478	t10243	1
t120985	t35821	1
t120985	t40545	0
t12301	t105711	1
t12301	t108723	1
t12301	t121315	1
t126060	t64752	1
t126060	t90233	1
t134411	t105864	1
t134411	t120985	0
t134411	t164734	1
t134411	t32775	1
t134411	t35821	1
t134411	t54161	1
t134411	t56319	1
t134411	t56330	1
t134411	t73394	1
t140420	t30235	1
t140420	t90847	1
t144256	t106029	1
t147748	t1536	1
t148795	t171572	1
t148795	t175419	1
t148795	t72194	1
t153525	t183059	1
t154394	t164567	1
t154394	t230304	1
t154394	t62164	1
t162178	t173791	1
t162178	t78955	1
t164567	t230304	1
t164734	t117465	1
t164734	t144256	1
t166841	t125324	1
t167808	t113919	1
t169498	t224024	1
t171572	t114855	0
t175275	t149518	1
t175645	t40545	1
t183059	t164734	1
t1836	t108723	1
t1836	t84582	1
t184635	t64752	1
t184635	t93834	1
t186580	t192424	1
t186580	t230304	1
t195672	t78024	0
t196433	t166841	1
t197852	t229864	1
t207206	t81377	1
t211451	t211062	0
t214185	t120985	1
t230943	t120985	1
t230943	t40545	1
t230943	t49319	1
t230943	t86099	1
t235751	t120985	1
t235751	t139856	1
t235751	t230943	1
t235751	t40545	0
t236515	t235823	1
t23999	t23226	1
t23999	t25619	1
t23999	t93834	1
t27834	t115679	1
t30235	t90847	0
t32679	t171572	1
t32679	t56319	1
t32775	t120985	1
t32775	t214185	1
t32775	t64752	1
t32775	t73394	1
t32775	t93834	1
t33178	t140420	0
t33178	t30235	0
t33178	t90847	0
t35341	t117406	1
t40545	t16579	1
t45128	t45814	1
t45814	t184635	1
t52901	t23999	0
t52901	t93834	1
t54045	t154394	1
t54161	t105711	1
t54161	t120985	1
t54161	t32775	1
t54161	t56330	1
t54161	t64752	1
t54161	t73394	1
t54161	t81377	1
t56330	t108982	1
t56330	t120985	1
t56330	t126060	1
t56330	t164734	1
t56330	t214185	1
t56330	t32775	1
t56330	t56319	1
t56330	t64752	1
t56330	t73394	1
t5652	t91227	1
t61237	t108982	1
t64752	t96081	1
t71040	t81565	0
t71040	t84582	0
t73394	t120985	1
t73394	t144256	1
t73394	t35821	1
t73394	t93834	1
t74258	t11667	1
t78024	t84582	1
t78234	t184635	1
t78786	t25838	1
t8104	t105711	1
t8104	t105864	0
t8104	t120985	1
t8104	t134411	1
t8104	t214185	1
t8104	t32775	1
t8104	t54161	1
t8104	t56330	1
t8104	t62164	1
t8104	t73394	1
t81377	t56319	1
t81565	t84582	0
t92505	t139856	1
t92505	t229864	1
