node1	node2	distance
t0	t1	0
t0	t2	0
t1	t2	0
t1	t3	0
t10	t11	0
t10	t12	0
t10	t153	1
t10	t154	1
t10	t397	1
t100	t101	0
t100	t102	0
t100	t468	0
t100	t469	0
t100	t470	0
t100	t471	0
t100	t472	0
t101	t102	0
t101	t103	0
t101	t469	0
t101	t470	0
t101	t471	0
t101	t472	0
t101	t473	0
t102	t103	0
t102	t104	0
t102	t470	0
t102	t471	0
t102	t472	0
t102	t473	0
t102	t474	0
t103	t104	0
t103	t105	0
t103	t471	0
t103	t472	0
t103	t473	0
t103	t474	0
t103	t475	0
t104	t105	0
t104	t106	0
t104	t472	0
t104	t473	0
t104	t474	0
t104	t475	0
t104	t476	0
t105	t106	0
t105	t107	0
t105	t473	0
t105	t474	0
t105	t475	0
t105	t476	0
t105	t477	0
t106	t107	0
t106	t108	0
t106	t171	1
t106	t172	1
t106	t360	1
t106	t361	1
t106	t375	1
t106	t376	1
t106	t474	0
t106	t475	0
t106	t476	0
t106	t477	0
t106	t478	0
t107	t108	0
t107	t109	0
t107	t171	1
t107	t172	1
t107	t287	1
t107	t288	1
t107	t289	1
t107	t307	1
t107	t308	1
t107	t309	1
t107	t360	1
t107	t361	1
t107	t375	1
t107	t376	1
t107	t475	0
t107	t476	0
t107	t477	0
t107	t478	0
t107	t479	0
t108	t109	0
t108	t110	0
t108	t287	1
t108	t288	1
t108	t289	1
t108	t307	1
t108	t308	1
t108	t309	1
t108	t476	0
t108	t477	0
t108	t478	0
t108	t479	0
t108	t480	0
t109	t110	0
t109	t111	0
t109	t307	1
t109	t308	1
t109	t309	1
t109	t477	0
t109	t478	0
t109	t479	0
t109	t480	0
t109	t481	0
t11	t12	0
t11	t13	0
t11	t313	1
t11	t314	1
t11	t315	1
t110	t111	0
t110	t112	0
t110	t478	0
t110	t479	0
t110	t480	0
t110	t481	0
t110	t482	0
t111	t112	0
t111	t113	0
t111	t479	0
t111	t480	0
t111	t481	0
t111	t482	0
t111	t483	0
t112	t113	0
t112	t114	0
t112	t480	0
t112	t481	0
t112	t482	0
t112	t483	0
t112	t484	0
t113	t114	0
t113	t481	0
t113	t482	0
t113	t483	0
t113	t484	0
t114	t482	0
t114	t483	0
t114	t484	0
t115	t116	0
t115	t117	0
t115	t148	1
t115	t149	0
t115	t150	0
t115	t154	1
t115	t221	1
t115	t222	1
t115	t223	1
t115	t224	1
t115	t252	1
t115	t253	1
t115	t254	1
t115	t273	1
t115	t274	1
t115	t288	1
t115	t289	1
t115	t294	1
t115	t295	1
t115	t322	0
t115	t336	1
t115	t337	1
t115	t344	1
t115	t345	1
t115	t346	1
t115	t380	1
t115	t397	0
t115	t445	1
t115	t446	1
t115	t447	1
t115	t485	0
t115	t486	0
t115	t487	0
t116	t117	0
t116	t118	0
t116	t485	0
t116	t486	0
t116	t487	0
t116	t488	0
t117	t118	0
t117	t119	0
t117	t485	0
t117	t486	0
t117	t487	0
t117	t488	0
t117	t489	0
t118	t119	0
t118	t120	0
t118	t486	0
t118	t487	0
t118	t488	0
t118	t489	0
t118	t490	0
t119	t120	0
t119	t121	0
t119	t328	1
t119	t329	1
t119	t487	0
t119	t488	0
t119	t489	0
t119	t490	0
t119	t491	0
t12	t109	0
t12	t110	0
t12	t111	0
t12	t13	0
t12	t14	0
t12	t313	1
t12	t314	1
t12	t315	1
t12	t479	0
t12	t480	0
t12	t481	0
t120	t121	0
t120	t122	0
t120	t328	1
t120	t329	1
t120	t488	0
t120	t489	0
t120	t490	0
t120	t491	0
t120	t492	0
t121	t122	0
t121	t123	0
t121	t358	1
t121	t359	1
t121	t489	0
t121	t490	0
t121	t491	0
t121	t492	0
t121	t493	0
t122	t123	0
t122	t124	0
t122	t136	1
t122	t137	1
t122	t154	1
t122	t206	1
t122	t207	1
t122	t208	1
t122	t273	1
t122	t274	1
t122	t275	1
t122	t358	1
t122	t359	1
t122	t490	0
t122	t491	0
t122	t492	0
t122	t493	0
t122	t494	0
t123	t124	0
t123	t125	0
t123	t136	1
t123	t137	1
t123	t154	1
t123	t206	1
t123	t207	1
t123	t208	1
t123	t273	1
t123	t274	1
t123	t275	1
t123	t358	1
t123	t359	1
t123	t491	0
t123	t492	0
t123	t493	0
t123	t494	0
t123	t495	0
t124	t125	0
t124	t126	0
t124	t136	1
t124	t137	1
t124	t273	1
t124	t274	1
t124	t275	1
t124	t492	0
t124	t493	0
t124	t494	0
t124	t495	0
t124	t496	0
t125	t126	0
t125	t127	0
t125	t493	0
t125	t494	0
t125	t495	0
t125	t496	0
t125	t497	0
t126	t127	0
t126	t128	0
t126	t494	0
t126	t495	0
t126	t496	0
t126	t497	0
t126	t498	0
t127	t128	0
t127	t129	0
t127	t495	0
t127	t496	0
t127	t497	0
t127	t498	0
t127	t499	0
t128	t129	0
t128	t130	0
t128	t496	0
t128	t497	0
t128	t498	0
t128	t499	0
t129	t130	0
t129	t131	0
t129	t497	0
t129	t498	0
t129	t499	0
t13	t109	0
t13	t110	0
t13	t111	0
t13	t14	0
t13	t15	0
t13	t479	0
t13	t480	0
t13	t481	0
t130	t131	0
t130	t132	0
t130	t498	0
t130	t499	0
t131	t132	0
t131	t133	0
t131	t499	0
t132	t133	0
t132	t134	0
t132	t374	1
t132	t375	1
t133	t134	0
t133	t135	0
t133	t222	1
t133	t223	1
t133	t273	1
t133	t274	1
t133	t374	1
t133	t375	1
t134	t135	0
t134	t136	0
t134	t222	1
t134	t223	1
t134	t273	1
t134	t274	1
t134	t360	1
t134	t361	1
t134	t374	1
t134	t375	1
t135	t136	0
t135	t137	0
t135	t360	1
t135	t361	1
t136	t137	0
t136	t138	0
t136	t360	1
t136	t361	1
t136	t492	1
t136	t493	1
t136	t494	1
t137	t138	0
t137	t139	0
t137	t431	1
t137	t432	1
t137	t492	1
t137	t493	1
t137	t494	1
t138	t139	0
t138	t140	0
t138	t431	1
t138	t432	1
t139	t140	0
t139	t141	0
t14	t15	0
t14	t16	0
t140	t141	0
t140	t142	0
t141	t142	0
t141	t143	0
t142	t143	0
t142	t144	0
t143	t144	0
t143	t145	0
t144	t145	0
t144	t146	0
t145	t146	0
t145	t147	0
t146	t147	0
t146	t148	0
t146	t169	1
t146	t170	1
t146	t274	1
t146	t275	1
t147	t148	0
t147	t149	0
t147	t169	1
t147	t170	1
t147	t274	1
t147	t275	1
t147	t405	1
t147	t406	1
t148	t149	0
t148	t150	0
t148	t153	0
t148	t154	0
t148	t222	1
t148	t231	1
t148	t232	1
t148	t233	1
